[00:00]  Sottotitoli creati dalla comunità Amara.org
[38:49]  Andiamo a vedere un po' quali sono le funzioni brevemente di questi organi di giustizia, abbiamo citato la commissione federale di garanzia, cosa fa la commissione federale di garanzia?
[39:00]  Innanzitutto seleziona l'elenco dei giudici sportivi che per curriculum e per preparazione possono rivestire i ruoli all'interno della federazione negli organi disciplinari, questa è stata una grande innovazione del nuovo codice di giustizia
[39:17]  perché ha lasciato ai consigli federali una nomina agli organi di giustizia, ma all'interno di liste di professionisti già valutati e selezionati da un organo terzo che è la commissione federale di garanzia che li valuta in maniera preventiva.
[39:34]  Questo esattamente vi ricordate per garantire quel principio di indipendenza e terzietà che questa valutazione autonoma della commissione di garanzia sull'elenco degli idonei pone come elemento di garanzia maggiore rispetto a un'eventuale teorica capacità di influenzare l'attività degli organi disciplinari
[39:57]  laddove il processo di nomina poteva rimanere direttamente dipendente dai consigli federali senza una mediazione che oggi è stata affidata alle commissioni federali di garanzia.
[40:12]  Hanno anche un compito importante perché sono chiamati a valutare l'operato dei giudici sportivi laddove i giudici sportivi che non sono revocabili dovessero violare comportamenti etici e professionali talmente gravi da compromettere la credibilità
[40:32]  non sono revocabili dal consiglio federale ma la commissione di garanzia di fronte a fatti gravi e conclamati ha anche il potere di revoca di un componente nei casi di grave conclamata negligenza di un giudice nell'esercizio delle sue funzioni dunque un potere importante ma che come vedete è tolto alla federazione.
[40:57]  Residuale ma importante anche un compito di interpretazione sulle norme statutarie regolamentari perché qualsiasi tesserato organo federale può adire alla commissione federale di garanzia quando il laddove ritenesse violata nella pratica applicazione una norma statutaria e regolamentare dunque può avvalersi della commissione federale di garanzia per rilasciare pareri di interpretazione autentica delle norme statutarie regolamentarie.
[41:27]  Le norme federali che possono dare dunque una possibilità ulteriore di cautela di trasparenza di fronte a applicazioni e norme federali che potrebbero non essere applicate correttamente anche da parte potenzialmente dei stessi organi federali direttivi dunque un elemento di maggiore trasparenza e di possibilità di sindacato sull'attività gestionale della federazione.
[41:53]  Brevemente andiamo sulla parte esportiva il giudice arbitro giudice arbitro il giudice che ha una competenza all'interno della manifestazione dunque prende provvedimenti sul campo cara.
[42:05]  Adesso si affianca giudice esportivo nazionale che omologa gli impianti dei risultati delle singole manifestazioni e combina in primo grado le squalifiche degli atleti riportate sui verbali degli ufficiali cara.
[42:21]  Pensate nella palla nuota il giudice esportivo è quello che può squalificare un atleta per aver commesso degli illici disciplinari durante un evento sportivo che viene indicato nel verbale di cara e il giudice esportivo nazionale ha la competenza di poterli sanzionare in base al codice esportivo.
[42:44]  Al canto adesso abbiamo la stessa competenza a livello regionale con il giudice esportivo regionale.
[42:50]  Ecco sulle decisioni dei giudici esportivi interviene la corte d'appello sportiva.
[42:57]  La corte di appello ha la possibilità di vedere assegnata sui ricorsi degli interessati tutti i provvedimenti di squalifica che il giudice esportivo può avere inflitto a qualsiasi tesserato in occasione di una manifestazione sportiva e dunque rappresenta il secondo grado la corte d'appello sportiva che va a giudicare anche in revisione le decisioni di primo grado.
[43:23]  In realtà tra questi organi si interviene e si introduce anche la Procura federale.
[43:29]  La Procura federale è quella che può attivare i procedimenti disciplinari che nascono per violazioni alle norme statutarie non legati alla pratica sportiva.
[43:42]  È evidente che il giudice esportivo decide sulla base di violazioni commesse durante un evento sportivo, ma gli illiciti sportivi possono essere diversi e vari.
[43:52]  I più importanti, pensatevi, possono essere la violazione sulle norme del tesseramento, l'utilizzo di attrere in posizioni di tesseramento non regolare, tutta una serie di violazioni alle norme che le società e gli affiliati possono commettere che non vengono necessariamente rilevate nella manifestazione sui quali la Procura federale, il provvedere federale, può intervenire aprendo dell'istruttoria, verificando le eventuali sanzioni e defendendo le norme.
[44:21]  Per cui, oltre alla filiera giudice esportivo e corte d'appello federale più legata agli eventi sportivi classici, pensate a un campionato di pallannuoto, abbiamo il percorso che vede come parte di impulso la Procura federale, che sulla base di notizie di illecito disciplinare, anche per esposti di tesserati ed affiliati, va a vincere un'impegno.
[44:50]  La Procura federale va a verificare se ci sono illeciti disciplinari tali da poter avviare il processo di fronte al Tribunale federale, il quale giudica in primo grado per tornare alla corte d'appello in caso di impugnativa da parte del sanzionato.
[45:08]  Considerate importante l'aspetto che vede anche la Procura federale titolare delle violazioni commesse dai dirigenti federali, per cui la competenza della Procura federale è su tutti gli illeciti disciplinari commessi sia da parte dei tesserati federali degli affiliati, ma anche dei stessi dirigenti federali che potrebbero potenzialmente aver operato in violazione delle norme federali.
[45:36]  Una delle principali novità della riforma velocemente che vado a ricordare della giustizia sportiva è stata l'affiancamento delle Procure federali delle singole discipline sportive con la Procura presso il CONI, la Procura generale dello sport.
[45:56]  Ecco, la Procura generale dello sport che è nata pochi anni fa affianca l'attività dei polgatori federali e ha dei poteri a sua volta autonomi, tanto da poter arrivare nel caso di archiviazione di un eventuale procedimento disciplinare che può anche essere archiviato non ravvisando nei termini per un deferimento, la Procura del CONI che ne è notiziata obbligatoriamente per regolamento può intervenire chiedendo alla Procura
[46:26]  sportiva di riferimento di procedere con una supplemento di indagine e può arrivare addirittura a funzioni sostitutive, avvocando l'azione disciplinare sulla Procura del CONI, laddove la Procura del CONI intenda che quell'illecito non può essere archiviato ma che legittimo un'azione disciplinare, anche laddove la Procura sportiva della singola federazione non ne abbia ravvisato.
[46:56]  Per cui capite bene il grado di complessità che si è aggiunto nell'amministrazione della giustizia sportiva che consente anche al CONI con la Procura del CONI di intervenire anche a gamba tesa sull'azione disciplinare interna delle federazioni assumendosi un ruolo diretto nella valutazione dell'eventuale presunto illecito disciplinare.
[47:25]  Concludo con alcune segnalazioni sui compri e collegio di garanzia dello sport. Ecco, è il grado di appello presso il CONI delle sanzioni credo sia sufficiente soltanto di chiamare l'attenzione di noi tutti su quali sono le materie che sono devolvibili al collegio di garanzia.
[47:45]  Ecco, sono devolvibili o impugnabili di fronte al collegio di garanzia dello sport espletato il primo e il secondo grado endo federale all'interno della singola federazione, tutte le sanzioni tecnico-sportive superiori ai 90 giorni per cui non è possibile andare a impugnare sanzioni che comportano squalifiche temporali inferiori ai 90 giorni.
[48:14]  O che abbiano comportato sanzioni pecuniarie inferiori a 10.000 euro per cui tutte le sanzioni che prevedono squalifiche oltre i 90 giorni e pecuniarie oltre i 10.000 euro per queste e solo per queste è possibile ricorso al collegio di garanzia dello sport di cui ha lo statuto del CONI.
[48:37]  C'è anche da dire che il collegio di garanzia del CONI può essere addito anche nei casi in cui si sia valutata la violazione di norme di diritto, come accennavo prima, laddove il ricorso di un terzo contro un provvedimento federale al collegio di garanzia abbia come ragioni dell'impugnativa la violazione delle norme del procedimento disciplinare, avendo omesso passaggi obbligatori nella situazione.
[49:07]  La gestione del procedimento stesso è motivazione ammissibile ai fini dell'incardinamento di un terzo grado di inanzi alla procura di fronte al collegio di garanzia del CONI.
[49:23]  L'ultimo è a concludere, come strumenti garantiti dallo statuto della composizione delle controversie e l'arbitrato federale, che consente ai soggetti federali che abbiano delle controversie attinenti allo svolgimento dell'attività sportiva, di devolvere ad arbitrato l'eventuale contenzioso.
[49:42]  Non è devolvibile tutto quello che inorienta negli aspetti disciplinari e quello che è riservato agli organi di giustizia sportiva che abbiamo velocemente accennato e elencato nelle loro funzioni.
[49:55]  Tutto quello che non ha valenza disciplinare ma attiene un contenzioso interno tra affiliati può essere devoluto ad un arbitrato federale che è regolato dalla federazione in base allo statuto.
[50:08]  Lo statuto, e andiamo a concludere, prevede infatti quali sono i regolamenti che io cito e che sono quelli obbligatori che regolano tutta l'attività per statuto della federazione.
[50:20]  Vediamo come norma attuativa dello statuto federale il regolamento organico, ma ricordo il regolamento di giustizia, tutti i regolamenti obbligatoriamente pubblicati sul sito della federazione anche in attuazione della norma di legge sulla trasparenza amministrativa.
[50:37]  Tutta la normazione dunque federale è fruibile sul sito federale.
[50:42]  Il regolamento di giustizia che nel dettaglio va a indicare i processi di gestione della giustizia sportiva a cui abbiamo accennato ma per passare al regolamento dei tecnici, alle squadre nazionali, al settore arbitrale, agli arbitrati federali, al regolamento amministrativo.
[50:58]  E cito soltanto perché è importante ricordare che il regolamento di giustizia, il regolamento antidoping, il regolamento organico e lo statuto sono regolamenti per cui è prevista l'obbligatoria approvazione da parte del CONI.
[51:14]  Ecco, è ovviamente una rapida carrellata di quali sono le norme principali contenute nello statuto che regolano l'attività della federazione partendo dalla natura giuridica che le federazioni hanno assunto dal 1999 in poi.
[51:31]  E abbiamo ritenuto importante accennare più specificatamente alle funzioni e ai compiti degli organi di giustizia sportiva, della cui complessità è stata aumentata dalla recente riforma della giustizia dello sport introdotti pochi anni,
[51:50]  fa e che è importante conoscere come funzioni principali perché attiene spesso l'attività dei statuti e degli affiliati e che non sempre vi è consapevolezza dell'articolazione dei strumenti disciplinari che la federazione prevede nei propri regolamenti,
[52:07]  ma invito anche a esaminarli nel dettaglio anche i diritti che questa regolamentazione ha fornito perché la regolamentazione del codice di giustizia sportiva ha inteso regolamentare tutta l'attività di sanzione sugli 10 disciplinari,
[52:25]  ma ha anche voluto garantire quel principio di equo processo a cui ho già fatto riferimento che consente anche diritti importanti in capo ai deferiti e colpiti dall'azione disciplinare che hanno la possibilità di esplicitare al meglio il proprio diritto di opposizione all'eventuale richiesta di provvedimento disciplinare,
[52:47]  al doppio grado di giudizio come diritto acquisito e inalienabile fino alla possibilità del terzo grado al collegio di garanzia che rappresenta nell'attuale configurazione normativa una ricchezza di strumenti che garantiscono l'efficacia, la correttezza, l'azione disciplinare, ma anche la possibilità dei soggetti che la subiscono di vedersi riconosciuti i propri diritti
[53:14]  e dunque poterli far valere all'interno degli organi giuricanti.
[53:19]  Abbiamo fatto una rapida carrellata dei principali norme contenute nello statuto e credo che sia importante dunque aver dato più rilevanza agli aspetti che sono di maggior interesse per gli affiliati e i tesserati,
[53:35]  la raccomandazione essendo la norma comunque estesa e particolare sempre di avere l'attenzione di aggiornarsi rispetto alle evoluzioni, agli aggiornamenti della normativa con una ricorrente attività di consultazione del corpus delle norme federali,
[53:53]  atteso anche la possibilità che oggi abbiamo attraverso il portale federale di avere la massima facilità di acquisizione di tutte le novità normative che la Federazione va a assumere per una costante aggiornamento delle norme,
[54:10]  anche in adesione all'evoluzione del quadro normativo generale, alle indicazioni del CONI e anche sulla base delle stesse indicazioni provenienti dagli associati e tesserati.
[54:21]  In grazie a voi tutti per l'attenzione e buona giornata.
